"Location","Date"
"Conakry","March 31, 2014"
"Conakry","April 04, 2014"
"Conakry","March 28, 2014"
"Conakry","April 01, 2014"
"Gueckedou","April 01, 2014"
"Gueckedou","March 28, 2014"
"Gueckedou","April 04, 2014"
"Gueckedou","March 31, 2014"
"Kankan","April 04, 2014"
"Kankan","April 01, 2014"
"Kankan","March 31, 2014"
"Kankan","March 28, 2014"
"Kissidougou","April 01, 2014"
"Kissidougou","March 31, 2014"
"Kissidougou","March 28, 2014"
"Kissidougou","April 04, 2014"
"Lofa","April 04, 2014"
"Lofa","April 01, 2014"
"Lofa","March 31, 2014"
"Lofa","March 28, 2014"
"Macenta","April 04, 2014"
"Macenta","April 01, 2014"
"Macenta","March 31, 2014"
"Macenta","March 28, 2014"
"National","April 04, 2014"
"National","April 01, 2014"
"National","March 31, 2014"
